City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,salta,-24.7859,-65.4117,290.14,94,40,1.54,AR,1679041083
127,aksu,41.1231,80.2644,287.39,24,0,1.7,CN,1679041083
128,ixtapa,20.7,-105.2,291.45,57,0,1.65,MX,1679041084
129,pucallpa,-8.3791,-74.5539,296.06,92,100,0.69,PE,1679041084
130,edd,13.9297,41.6925,300.99,71,8,2.03,ER,1679041085
131,varkkallai,8.7341,76.7067,306.03,64,39,6.4,IN,1679041086
132,tabuk,17.4189,121.4443,302.05,56,64,1.69,PH,1679041086
133,fortuna,40.5982,-124.1573,278.66,95,100,0.0,US,1679041087
134,beloha,-25.1667,45.05,301.15,57,37,3.66,MG,1679041088
135,saint george,37.1041,-113.5841,279.48,63,0,0.45,US,1679041088
136,moose factory,51.2585,-80.6094,262.15,72,100,4.63,CA,1679041089
137,voh,-20.9667,164.7,298.97,90,41,3.02,NC,1679041090
138,barrhead,55.7992,-4.3929,282.6,89,100,1.54,GB,1679041090
139,yokote,39.3,140.5667,279.24,61,62,3.9,JP,1679041091
140,lambarene,-0.7001,10.2406,300.88,74,88,0.62,GA,1679041092
141,klaksvik,62.2266,-6.589,275.66,71,90,12.68,FO,1679041092
142,sovetskiy,61.3614,63.5842,275.02,94,100,3.43,RU,1679041093
143,scituate,42.1959,-70.7259,278.22,79,100,0.0,US,1679041093
144,shahrud,36.4182,54.9763,288.19,38,6,4.67,IR,1679041094
145,espinosa,-14.9261,-42.8192,290.45,95,81,1.92,BR,1679041095
146,gorontalo,0.5412,123.0595,300.13,90,100,0.73,ID,1679041095
147,kapaa,22.0752,-159.319,297.33,88,75,5.66,US,1679041096
148,buala,-8.145,159.5921,299.78,82,43,1.85,SB,1679041096
149,saint-pierre,-21.3393,55.4781,303.66,70,0,3.6,RE,1679041097
150,yulara,-25.2406,130.9889,313.14,9,100,1.64,AU,1679041098
151,faanui,-16.4833,-151.75,301.63,73,88,6.23,PF,1679041099
152,cayenne,4.9333,-52.3333,295.17,94,0,0.0,GF,1679041100
153,chuy,-33.6971,-53.4616,296.01,94,100,2.6,UY,1679041101
154,verkhoshizhemye,58.011,49.1038,273.88,100,100,1.34,RU,1679041102
155,kavaratti,10.5669,72.642,301.0,72,26,3.58,IN,1679041103
156,arraial do cabo,-22.9661,-42.0278,296.23,83,0,0.8,BR,1679041103
157,tasiilaq,65.6145,-37.6368,264.24,80,99,2.39,GL,1679041104
158,kununurra,-15.7667,128.7333,310.14,34,99,3.6,AU,1679041104
159,quelimane,-17.8786,36.8883,299.12,83,40,2.57,MZ,1679041105
160,pevek,69.7008,170.3133,259.99,81,83,5.56,RU,1679041105
161,namibe,-15.1961,12.1522,296.38,79,100,1.57,AO,1679041106
162,canchungo,12.0672,-16.0333,294.22,75,8,3.55,GW,1679041107
163,port lincoln,-34.7333,135.8667,297.27,59,9,2.65,AU,1679041107
164,petropavlovsk-kamchatskiy,53.0452,158.6483,273.48,100,100,5.0,RU,1679041108
165,mogadishu,2.0371,45.3438,301.91,71,66,5.06,SO,1679041015
166,miyako,39.6367,141.9525,279.6,56,33,1.77,JP,1679040859
167,tateyama,34.9833,139.8667,287.65,81,100,8.58,JP,1679041109
168,xicotencatl,23.0167,-98.8833,294.72,92,13,1.51,MX,1679041110
169,bandarbeyla,9.4942,50.8122,301.74,68,97,3.52,SO,1679041111
170,barentu,15.1139,37.5928,301.08,28,30,1.46,ER,1679041111
171,victor harbor,-35.5667,138.6167,297.65,56,62,1.78,AU,1679041112
172,xinmin,41.9908,122.8253,282.94,14,6,2.6,CN,1679041113
173,sao joao da barra,-21.6403,-41.0511,294.67,91,0,3.18,BR,1679041113
174,ancud,-41.8697,-73.8203,279.77,80,100,3.43,CL,1679041042
175,kupang,-10.1667,123.5833,300.47,94,40,2.57,ID,1679041114
